unique_id,ds,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,AutoNBEATS,AutoNHITS,Chronos,y
hotel_14,2023-06-14,0.5660377358490566,0.5471698113207547,0.5653450658290413,0.6803857478365871,0.30818176002776587,0.5837412,0.583312,0.6106008887290955,0.6886792452830188
hotel_14,2023-06-15,0.5660377358490566,0.5188679245283019,0.5209390832107407,0.6732334708588921,0.2986569897438912,0.56231976,0.56587917,0.621504545211792,0.5849056603773585
hotel_14,2023-06-16,0.5660377358490566,0.5660377358490566,0.5554432718610073,0.6869788705456599,0.37852111813629064,0.63031065,0.62747735,0.621504545211792,0.6132075471698113
hotel_14,2023-06-17,0.5660377358490566,0.6981132075471698,0.5856228761722997,0.7175658119454185,0.3988444437365953,0.6176095,0.6046039,0.6106008887290955,0.6698113207547169
hotel_14,2023-06-18,0.5660377358490566,0.4811320754716981,0.3625967115481431,0.6907535888338132,0.11602216969569268,0.42464763,0.45934153,0.621504545211792,0.5
hotel_14,2023-06-19,0.5660377358490566,0.37735849056603776,0.45754845204892763,0.678212143266046,0.04370436630442169,0.4795418,0.4761976,0.49066147208213806,0.5849056603773585
hotel_14,2023-06-20,0.5660377358490566,0.49056603773584906,0.5421698752690773,0.6967609712112445,0.12186370396511735,0.5676685,0.5347208,0.5669865608215332,0.6698113207547169
hotel_14,2023-06-21,0.5660377358490566,0.5471698113207547,0.5653450658290413,0.7060793621139441,0.18873701785098052,0.5885068,0.56849086,0.5942455530166626,0.7264150943396226
hotel_14,2023-06-22,0.5660377358490566,0.5188679245283019,0.5209390832107407,0.7022807764884366,0.1934342318835451,0.5604533,0.5682739,0.621504545211792,0.6981132075471698
hotel_14,2023-06-23,0.5660377358490566,0.5660377358490566,0.5554432718610073,0.7095814677437746,0.27201283953884337,0.63196677,0.63815486,0.6596670746803284,0.7264150943396226
hotel_14,2023-06-24,0.5660377358490566,0.6981132075471698,0.5856228761722997,0.7258271476817256,0.29587353069033523,0.65540904,0.6246615,0.6869260668754578,0.6132075471698113
hotel_14,2023-06-25,0.5660377358490566,0.4811320754716981,0.3625967115481431,0.7115864163927395,0.021470602952152806,0.4488142,0.5079403,0.6106008887290955,0.5660377358490566
hotel_14,2023-06-26,0.5660377358490566,0.37735849056603776,0.45754845204892763,0.704925301105142,-0.06039657490957144,0.48675305,0.49547124,0.49066147208213806,0.5943396226415094
hotel_14,2023-06-27,0.5660377358490566,0.49056603773584906,0.5421698752690773,0.7147771375091044,0.016895337039947667,0.60796773,0.56951034,0.5669865608215332,0.5377358490566038
hotel_14,2023-06-28,0.5660377358490566,0.5471698113207547,0.5653450658290413,0.7197264133783504,0.07956696362042635,0.5973107,0.5941253,0.6433116793632507,0.5566037735849056
hotel_14,2023-06-29,0.5660377358490566,0.5188679245283019,0.5209390832107407,0.7177088750618881,0.08156354227530789,0.58091795,0.5777472,0.6433116793632507,0.7641509433962265
hotel_14,2023-06-30,0.5660377358490566,0.5660377358490566,0.5554432718610073,0.7215864881821454,0.14864365448973482,0.67759925,0.6574614,0.7250885963439941,0.5188679245283019
hotel_21,2023-06-03,1.0,1.0092592592592593,0.9965671900805182,1.0160671703102881,1.0282420190952763,1.0116009,1.0060503,0.995912492275238,1.0046296296296295
hotel_21,2023-06-04,1.0,1.0046296296296295,0.9338321213004529,0.9834442646667593,1.0376936180716168,0.9556661,0.9445696,0.954416036605835,0.9814814814814815
hotel_21,2023-06-05,1.0,0.75,0.9388737130839176,0.9229118275279125,0.8784314961474567,0.89774245,0.9109014,0.9751642346382141,1.0
hotel_21,2023-06-06,1.0,0.75,0.9832132560252524,0.9220957178169854,0.8922461189493904,0.92453724,0.9238267,0.954416036605835,0.9675925925925926
hotel_21,2023-06-07,1.0,0.8981481481481481,1.0058085506131955,0.940106989178008,0.9227994095397689,0.947884,0.94363475,0.9267518520355225,0.9583333333333334
hotel_21,2023-06-08,1.0,0.9444444444444444,1.0019568781737052,0.9676229069110484,0.9502605800902576,0.9473279,0.9612077,0.9336678981781006,1.0
hotel_21,2023-06-09,1.0,1.0,0.9885692352917795,0.9691952822498655,0.9557991097963456,0.98471355,0.9793452,0.9613320827484131,0.9907407407407407
hotel_21,2023-06-10,1.0,1.0092592592592593,0.9965671900805182,0.9696455212321548,1.0152424136792044,0.9919622,0.984007,0.9751642346382141,1.0231481481481481
hotel_21,2023-06-11,1.0,1.0046296296296295,0.9338321213004529,0.9725235910871594,1.0482287248313555,0.94068044,0.9336862,0.9889963269233704,0.9861111111111112
hotel_21,2023-06-12,1.0,0.75,0.9388737130839176,0.941000654040312,0.890701083811694,0.9130945,0.8984405,0.9820802807807922,1.0
hotel_21,2023-06-13,1.0,0.75,0.9832132560252524,0.9496235001014959,0.9139704293587115,0.9234897,0.9154617,0.9820802807807922,0.9768518518518519
